Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
SCA,1b, TRUE,Construction bid price for school capacity projects per square foot ($),$580,$630,$771,$752,$753,$700,$700,Up,Down
DoITT,2b, TRUE,Data sets available for download on NYC.gov/OpenData,"1,139","1,273","1,369","1,552","1,700","1,679","1,902",Up,Up
NYCEM,2a, FALSE,Subscribers to Corpnet System,"1,545","1,590","1,610","1,545","1,490",*,*,Neutral,Up
FDNY,1a, FALSE,Completed inspections performed by civilian fire prevention personnel,"184,749","190,346","195,223","206,959","225,025","187,000","187,000",Up,Up
CCRB,3a, FALSE,Letters responded to in 14 days (%),70%,73%,84%,88%,80%,*,*,Up,Up
DOF,6a, FALSE,"– Property taxes collected ($000,000)","$18,751","$19,977","$21,317","$22,946","$24,447",*,*,Up,*
DHS,4a, TRUE,"Unsheltered individuals who are estimated to be living on the streets, in parks, under highways, on subways, and in the public transportation stations in New York City","3,180","3,357","3,182","2,794","3,892",↓,↓,Up,Down
HRA,1a, TRUE,Cash assistance application timeliness rate (%),92.60%,93.60%,94.40%,97.50%,97.90%,96.00%,96.00%,Neutral,Up
FDNY,1a, FALSE,Violation orders corrected,"30,377","40,953","37,390","38,109","50,245",*,*,Up,*
DCA,4a, TRUE,Average time to resolve all PSL complaints (calendar days),NA,NA,33,101,183,↓,↓,NA,Down
DHS,2b, TRUE,"Critical incidents in the adult family shelter system, per 1,000 residents",NA,NA,NA,NA,2.4,↓,↓,NA,Down
DOI,1b, TRUE,Financial recoveries to the City ordered/agreed ($000),"$38,428","$11,144","$10,603","$3,004","$4,069",↑,↑,Down,Up
DCP,3a, TRUE,–  Certified/referred within 15 months,NA,62%,62%,42%,56%,70%,70%,NA,Up
EDC,3b, FALSE,"Value of funding disbursed pursuant to City funding agreements ($000,000)",$91.00,$166.30,$168.70,$128.70,$47.60,*,*,Down,*
NYCHA,4a, FALSE,Completed requests for interpretation,"150,619","154,339","187,871","196,996","189,243",*,*,Up,*
OCME,3a, FALSE,Remains recovered following a disaster or mass fatality incident (cumulative),"21,906","21,914","21,916","21,916","21,916",*,*,Neutral,*
ACS,2a, FALSE,EarlyLearn - Fiscal year spending per child based on average enrollment in Contract Family Child Care,"$9,084","$8,629","$8,577","$8,715","$9,072",*,*,Neutral,*
CCRB,1b, FALSE,Cases successfully mediated,61,179,183,222,187,*,*,Up,Up
HRA,1a, TRUE,Cash assistance unduplicated number of persons (12-month)(000),607,589.1,591.1,601.8,598.6,*,*,Neutral,*
DOB,1a, FALSE,Building permits issued -  Initial,"88,290","98,302","104,087","109,277","109,724",*,*,Up,*
QPL,NA, FALSE,Computer sessions (000),"3,111","3,211","2,985","3,040","2,957","3,500","3,500",Neutral,Up
DOE,2b, TRUE,– Math (%),3.60%,11.40%,13.50%,14.70%,14.30%,15.70%,15.30%,Up,Up
FDNY,3a, FALSE,"Average annual cost of a ladder company ($000,000)",$8.40,$8.60,$8.60,$8.80,$8.90,*,*,Neutral,*
DOB,1b, FALSE,Average days to complete first plan review (Borough offices) - Minor renovation (Alterations II and III),4.2,3.8,4.1,3.2,1.5,4,4,Down,Down
DOHMH,2a, FALSE,Adults who consume an average of one or more sugar-sweetened beverages per day (%) (CY),28.20%,23.30%,22.50%,23.70%,22.70%,22.80%,21.80%,Down,Down
DoITT,2a, TRUE,NYC.gov unique visitors (average monthly) (000),"3,774","3,778","3,772","4,001","4,599",↑,↑,Up,Up
DOHMH,1a, TRUE,Patients enrolled in Ryan White with current antiretroviral (ARV) prescription at last assessment (%),82.60%,87.00%,87.70%,86.20%,90.10%,92.00%,92.00%,Neutral,*
DOF,2b, TRUE,Average turnaround time for in-person parking ticket hearings (minutes),19,25,19,14,12,25,25,Down,Down
BPL,NA, TRUE,Library card holders (000),"1,062","1,243","1,362","1,523","1,631","1,569","1,650",Up,Up
DOB,1b, TRUE,Average days to complete first plan review (Borough offices) -  Major renovation (Alteration I),12,11.3,15.2,12.2,5.8,10,10,Down,Down
DYCD,2a, FALSE,Value of Summer Youth Employment Program contracts ($000),"$8,641","$15,036","$17,145","$18,563","$21,712",*,*,Up,*
311,1a, FALSE,311-NYC (text) contacts (000),NA,234,175,156,144,*,*,NA,*
NYCEM,2c, FALSE,Notify NYC messages issued,"1,189","1,190","1,390","1,505","1,986",*,*,Up,*
DOT,4a, FALSE,Pedestrian space installed (square feet),"360,057","297,408","230,956","353,439","499,025",*,*,Up,Up
HPD,4a, TRUE,Section 8   - Voucher utilization rate,98.20%,98.20%,93.30%,94.50%,96.60%,98.00%,98.00%,Neutral,Up
CUNY,NA, FALSE,CUNY community college graduates from career and technical education programs who are employed within six months of graduation (%),71.20%,72.00%,77.20%,74.40%,77.10%,*,*,Neutral,Up
HPD,2a, TRUE,Total housing completions (New Housing Marketplace Plan and HNY) (units),NA,"10,082","12,028","20,585","17,736","17,343","17,123",NA,*
NYPD,3a, FALSE,– Graffiti summonses,44,18,11,7,3,*,*,Down,*
DOB,1a, FALSE,Certificates of Occupancy issued,"5,949","5,694","5,289","5,893","6,427",*,*,Neutral,*
DOT,1a, TRUE,Bridges rated - Good or very good (%) (calendar year),41.40%,42.00%,42.10%,41.90%,41.80%,40.70%,40.70%,Neutral,Up
DoITT,4a, TRUE,Active LinkNYC kiosks on City streets,NA,NA,NA,198,901,"1,530","2,830",NA,*
HRA,4a, TRUE,Serious personal care complaints resolved in 24 hours (%),100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Neutral,Up
DCA,1b, FALSE,Consumer Protection Law - refund and receipt compliance rate (%),80%,81%,91%,91%,89%,80%,85%,Up,Up
EDC,4a, TRUE,Project employees reported to be earning a living wage or more (%),NA,94%,95%,95%,NA,↑,95%,NA,Up
HPD,1b, FALSE,Housing Court cases initiated by HPD that were disposed,"4,769","6,183","6,365","5,633","6,222",*,*,Up,*
DOB,1a, FALSE,Jobs filed,"72,288","82,551","91,933","93,130","92,569",*,*,Up,*
FDNY,1c, TRUE,Firefighter burns,233,186,215,218,203,↓,↓,Neutral,Down
OATH,1a, TRUE,Average adjournment time at the OATH Trials Division (business days),16.6,15.7,16.9,17.5,18.1,20,20,Up,Down
SBS,5a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DHS,6a, FALSE,E-mails responded to in 14 days (%),66.70%,80.50%,68.60%,61.37%,NA,*,*,NA,Up
DYCD,2a, FALSE,Participants in WIA-funded In-School Youth program,"2,395","2,527","2,678","2,766","2,980",*,*,Up,*
DOI,1a, TRUE,Complaints,"12,659","12,624","11,445","11,616","12,128",*,*,Neutral,*
NYCEM,1a, FALSE,Interagency meetings held during field responses,578,290,291,277,198,*,*,Down,*
TLC,1d, FALSE,– Average agency processing time,NA,NA,NA,19.9,11.8,*,*,NA,Down
DOT,3a, FALSE,Citi Bike annual membership,NA,"92,598","73,369","114,779","198,858",*,*,NA,Up
DEP,3a, FALSE,Harbor survey stations meeting the fishable standard of 5mg/L for dissolved oxygen (%),85%,91%,94%,90%,92%,89%,89%,Neutral,Up
DOF,6a, FALSE,"– Business taxes collected ($000,000)","$7,410","$7,578","$7,724","$7,550","$7,289",*,*,Neutral,*
DPR,1a, TRUE,Parks rated acceptable for cleanliness (%),90%,91%,92%,92%,92%,90%,90%,Neutral,Up
HRA,2a, TRUE,Family cases engaged in training or education in accordance with New York City guidelines (%),23.70%,24.30%,25.50%,27.40%,26.30%,↑,↑,Up,Up
CUNY,NA, FALSE,Total headcount enrollment at CUNY community colleges,"96,500","97,751","99,958","99,045","96,865",*,*,Neutral,*
CUNY,NA, TRUE,CUNY courses offered partly or totally online (%),4.30%,4.90%,5.70%,6.80%,8.00%,8.00%,8.00%,Up,Up
NYPD,1a, TRUE,Major felony crime in housing developments,"5,018","5,328","4,858","5,205","5,084",↓,↓,Neutral,Down
DPR,1b, TRUE,– Crimes against properties,NA,NA,465,469,547,*,*,NA,Down
DORIS,2b, FALSE,Warehouse capacity available for new accessions (%),7%,4%,5%,12%,12%,*,*,Up,*
DOP,2a, FALSE,Revocation of juveniles resulting in placement (%),NA,NA,NA,64.00%,71.00%,*,*,NA,*
DOHMH,1a, TRUE,Syphilis cases,"1,104","1,234","1,315","1,804","1,808",↓,↓,Up,Down
DOP,1a, FALSE,Juvenile investigation reports completed,"3,546","2,194","2,003","2,019","1,927",*,*,Down,*
DOT,1c, TRUE,Average time to respond to high priority traffic signal defect and make safe (hours:minutes),NA,2:05,1:47,1:50,1:47,2:00,2:00,NA,Down
HRA,1b, TRUE,SNAP application timeliness rate (%),93.50%,87.20%,81.40%,93.90%,88.40%,90.60%,90.60%,Neutral,Up
DYCD,4a, FALSE,Expenditure report reviews,"22,495","25,352","21,687","25,433","23,369",*,*,Neutral,*
DPR,2b, FALSE,– Down tree limbs,11.9,18.6,17.3,22.5,38.5,*,*,Up,Down
DOB,1c, TRUE,Average wait time for a construction inspection (days),4.7,3.4,3.6,3.8,2.7,4.5,4.5,Down,Down
HRA,6a, FALSE,Average customer in-person wait time (minutes),48.2,39.9,42.2,34.8,34.1,60,60,Down,Down
DPR,4b, FALSE,Parks with an affiliated volunteer group (%),NA,NA,NA,29%,27%,*,*,NA,Up
HPD,1b, FALSE,– Cases resulting in judgments,610,571,721,842,578,*,*,Up,*
BOE,NA, FALSE,Total active voters (000),"4,225","4,276","4,160","4,108","4,477",*,*,Neutral,Up
DYCD,1b, TRUE,Youth reunited with family or placed in a suitable environment from Transitional Independent Living (TIL) centers (%),91%,93%,92%,89%,88%,85%,85%,Neutral,Up
DOF,1a, FALSE,Originally noticed properties sold in lien sale (%),20%,21%,16%,14%,17%,*,*,Down,Down
DCAS,3a, FALSE,Real estate auction bids received ($000),NA,"$17,500",NA,"$12,990",$0,*,*,NA,*
DDC,1a, FALSE,Total construction projects completed early/on time (%),81%,81%,84%,87%,87%,82%,82%,Neutral,Up
DSNY,2a, FALSE,Tons per day disposed,"10,876","10,611","10,554","10,583","10,676",*,*,Neutral,Down
DOC,4a, FALSE,Accidents involving inmates,43,38,44,43,35,*,*,Down,Down
DOF,2b, FALSE,– In-person hearings,"206,320","239,063","236,097","220,221","216,695",*,*,Neutral,*
DOE,1a, FALSE,Students in grades 3 to 8 progressing from below standards to meeting standards - English language arts (%),2.90%,11.00%,12.20%,18.40%,16.90%,*,*,Up,Up
TLC,1b, FALSE,– Re-inspection (%),8.10%,7.90%,7.40%,6.50%,6.60%,*,*,Down,Down
TLC,1d, TRUE,Average wait time at Long Island City licensing facility (hours: minutes),0:14,0:28,0:16,0:25,0:19,0:25,0:25,Up,Down
DYCD,5a, FALSE,Completed customer requests for interpretation,"1,708","1,515","1,986","2,380","1,705",*,*,Up,*
DOB,2a, TRUE,Residential illegal conversion complaints where access was obtained (%),41.60%,44.10%,40.50%,38.40%,36.40%,44.00%,44.00%,Down,Up
NYCEM,1a, FALSE,Incidents,"3,443","3,702","4,091","4,267","3,924",*,*,Up,*
NYPD,1a, TRUE,– Grand larceny,"43,622","45,238","43,112","45,164","43,787",↓,↓,Neutral,Down
DOC,2b, FALSE,Average daily number of inmates in vocational skills training programs,204,216,256,226,550,*,*,Up,Up
DOB,1b, FALSE,Average days to complete first plan review (Hub projects) -  Major renovation (Alteration I),11.9,11.9,16.2,9,5.1,*,*,Down,Down
BIC,1a, FALSE,Waste hauling complaints received,534,519,513,449,351,*,*,Down,*
DPR,2a, TRUE,Street trees pruned - Block program,"46,697","59,607","97,888","87,359","70,443","65,000","65,000",Up,Up
DOE,4a, TRUE,– Fair to poor condition (%),0.30%,0.00%,0.10%,0.10%,NA,↓,↓,NA,Down
NYPD,6a, FALSE,Completed requests for interpretation,"264,803","263,035","273,575","238,382","288,561",*,*,Neutral,*
DOT,1b, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),88.10%,92.00%,91.00%,92.00%,92.00%,*,*,Neutral,Up
DOP,1b, FALSE,– low-risk (%),47.00%,37.00%,38.00%,40.00%,36.00%,*,*,Down,Up
DOP,1b, FALSE,– medium-risk (%),16.00%,12.00%,13.00%,14.00%,14.00%,*,*,Neutral,*
DCA,1a, FALSE,Total docketed complaints,"3,907","3,853","3,702","3,650","3,049",*,*,Down,*
NYCHA,1b, TRUE,Average outage per elevator per month,0.97,1,0.99,1.13,1.06,1.01,1.01,Up,Down
DFTA,3b, FALSE,Percent meeting time to first action - Housing Options (14 days),95%,99%,94%,90%,93%,*,*,Neutral,*
DCAS,1b, TRUE,New hires - Male (%),55.60%,57.20%,53.70%,59.30%,53.00%,*,*,Neutral,*
DOP,2b, FALSE,Juvenile supervision - new Individual action plans (IAPs) created for eligible clients (%),NA,NA,NA,100.00%,100.00%,*,*,NA,*
ACS,3a, TRUE,"Average daily population (ADP), detention",266,234.1,169.9,156.6,119.4,↓,↓,Down,Down
DOE,1b, FALSE,Parents attending Fall and Spring Parent-Teacher Conferences (000),"1,416","1,437","1,910","1,983","2,021","1,984","1,984",Up,Up
DHS,2b, FALSE,"Violent critical incidents in the families with children shelter system, per 1,000 residents",NA,NA,NA,NA,0.6,*,*,NA,Down
DEP,1a, FALSE,Acres of land solicited in watershed area,"62,481","44,316","32,865","45,569","34,513",*,*,Down,*
NYPD,1a, FALSE,– Grand larceny auto,3,1,1,4,0,*,*,Down,Down
HPD,1b, FALSE,Total violations issued,"385,507","390,951","408,874","440,849","481,085",*,*,Up,*
DOE,1a, TRUE,Students in cohort graduating from high school in 6 years (%) (NYSED),74.70%,76.60%,NA,NA,NA,↑,↑,NA,Up
SBS,2a, TRUE,Customers enrolled in training,NA,NA,NA,"3,649","3,464",↑,↑,NA,Up
OATH,1a, FALSE,Cases closed at the OATH Trials Division (total),"2,326","2,425","2,724","2,560","2,668",*,*,Up,*
HRA,3b, FALSE,Number of domestic violence emergency beds (capacity),"2,228","2,228","2,228","2,282","2,378",*,*,Neutral,*
SBS,2a, FALSE,Unique customers served,NA,NA,NA,"104,715","104,239",*,*,NA,Up
DOF,2a, FALSE,Parking tickets resolved within 90 days (000),NA,NA,"8,374","8,813","7,655",*,*,NA,*
HPD,1b, TRUE,Violations issued and removed in the same fiscal year (%),41%,38%,38%,45%,42%,40%,40%,Neutral,Up
DOHMH,7b, FALSE,Percent meeting time to first action - Indoor Air Quality (14 days),97%,99%,99%,99%,98%,95%,95%,Neutral,*
NYCHA,2c, FALSE,Applicants placed through Section 8 vouchers,933,384,892,"1,706","2,758",*,*,Up,Up
CUNY,NA, TRUE,Six-year systemwide graduation rate (%) - CUNY baccalaureate students,51.00%,52.60%,52.70%,53.90%,54.80%,55.00%,55.00%,Neutral,Up
DCAS,2b, TRUE,In-house trade shop work orders completed within 30 days (%),64%,69%,70%,70%,64%,75%,75%,Neutral,Up
ACS,1a, TRUE,Average child protective specialist caseload,8.2,9.8,10.5,10.6,12.4,12,12,Up,Down
DOC,3a, FALSE,Victim Identification Notification Everyday (VINE) system registrations,"14,929","15,291","15,159","15,440","17,288",*,*,Up,Up
DOE,1b, FALSE,In-person consultations with parents by PC or parent engagement designee (000),"1,129","1,275","1,450","1,593","1,637","1,400","1,400",Up,Up
NYPL,NA, TRUE,Libraries open six days per week (%),100%,100%,100%,100%,100%,100%,100%,Neutral,Up
DOE,3b, FALSE,Percent of high school cohort passing at least 1 AP exam in 4 years of high school,13.50%,15.40%,15.90%,17.10%,NA,19.10%,21.10%,NA,Up
DOI,1b, TRUE,Referrals for civil and administrative action,"1,235",929,"1,327",849,990,*,*,Down,*
DOT,7a, FALSE,E-mails responded to in 14 days (%),92%,89%,95%,98%,97%,90%,95%,Neutral,Up
TLC,2a, FALSE,For-hire vehicles,"43,668","51,145","65,016","78,814","99,928",*,*,Up,*
FDNY,4a, FALSE,Average wait time to speak with a customer service agent (minutes),12:14,13:14,11:22,13:53,17:32,*,*,Up,Down
NYCHH,1b, TRUE,Prenatal patients retained in care through delivery (%),83.00%,85.50%,87.10%,87.00%,86.10%,90.00%,90.00%,Neutral,Up
DOE,2b, TRUE,Students with disabilities in cohort graduating from high school in 6 years (%) (NYSED),48.20%,50.80%,NA,NA,NA,*,*,NA,Up
311,1a, FALSE,Calls handled in languages other than English (%),2.10%,1.80%,2.50%,3.00%,2.70%,*,*,Up,*
HRA,5a, FALSE,Workplace injuries reported,194,196,170,172,176,*,*,Down,Down
CUNY,NA, FALSE,Students passing the National Council Licensure Examination for Registered Nurse (%),86.90%,74.80%,76.40%,80.10%,86.30%,*,*,Neutral,Up
SBS,1b, FALSE,Commercial tenants active in Lower Manhattan Energy Program,"1,095","1,059","1,152","1,007",784,*,*,Down,*
DOE,4a, FALSE,Schools that exceed capacity - Elementary schools (%),32.00%,33.00%,65.00%,59.00%,NA,*,*,NA,Down
DHS,2a, TRUE,Average number of families with children in shelters per day,"9,840","10,649","11,819","12,089","12,818",↓,↓,Up,Down
NYPD,1a, TRUE,Major felony crime,"110,099","110,023","103,872","105,614","98,991",↓,↓,Neutral,Down
ACS,3a, FALSE,Secure detention - ADP,150.1,130.2,94.7,91.7,69.9,*,*,Down,Down
ACS,1e, TRUE,Children in care 12-23 months discharged to permanency (%),19.60%,21.50%,20.10%,24.40%,24.60%,27.00%,27.00%,Up,Up
OATH,1a, FALSE,OATH Trials Division settlement rate (%),59%,55%,57%,57%,59%,55%,55%,Neutral,*
DCAS,2b, TRUE,Average time to complete in-house trade shop work orders for minor repairs (days),8.2,4.3,4.2,3.6,3.5,7,4,Down,Down
DoITT,1a, FALSE,Uptime of NYCWiN (%),99.99%,100.00%,100.00%,99.99%,99.97%,99.99%,99.99%,Neutral,Up
DOE,2b, FALSE,– Public school,648,"1,502","1,420","2,124","2,524",*,*,Up,*
CUNY,NA, FALSE,Total students served in CUNY Accelerated Study in Associate Programs (ASAP),"2,204","3,205","4,352","8,016","15,473",*,*,Up,Up
ACS,1e, TRUE,Children in care 24 or more months discharged to permanency (%),23.80%,23.20%,23.20%,24.90%,24.30%,27.00%,27.00%,Neutral,Up
NYPD,2a, FALSE,– Summonses for hazardous violations,"684,012","749,561","832,975","879,790","923,513",*,*,Up,*
NYCHA,2c, FALSE,Families on Section 8 waiting list (000),123,123,121,119,148,*,*,Up,Down
DEP,6a, FALSE,Total violations issued,"13,262","14,077","15,284","14,753","16,149",*,*,Up,*
HPD,1b, FALSE,Housing Court cases initiated by HPD,"5,376","6,824","6,299","5,659","6,371",*,*,Neutral,*
DPR,2a, FALSE,– Annual pruning goal completed (%),173%,119%,140%,92%,108%,*,*,Down,Up
OCME,2a, FALSE,Median time to remove decedents from scene (non-hospital) after investigation (minutes),42.1,40.1,49.3,56.7,61.9,*,*,Up,Down
TLC,1a, FALSE,Accessible dispatch trips fulfilled as a percent of requested trips (%),NA,81.00%,88.70%,89.20%,91.10%,*,*,NA,Up
DOP,2a, TRUE,Adult probationer rearrest rate (monthly average) (%),3.10%,3.20%,3.10%,3.40%,3.10%,3.00%,3.00%,Neutral,Down
DOP,3a, FALSE,Completed requests for interpretation,"16,505","16,520","15,859","9,425","11,870",*,*,Down,*
DCAS,5a, FALSE,– Natural gas (%),40.50%,41.50%,42.40%,42.00%,42.50%,*,*,Neutral,*
EDC,2a, TRUE,Occupancy rate of NYCEDC-managed property (%),95.70%,97.30%,93.30%,93.70%,94.60%,95.00%,95.00%,Neutral,Up
HRA,4a, FALSE,HASA clients receiving housing assistance (%),84.30%,84.00%,84.70%,84.30%,80.60%,*,*,Neutral,*
LPC,1c, FALSE,Violations admitted to or upheld at the OATH Environmental Control Board (%),87%,97%,98%,98%,98%,*,*,Neutral,Up
SCA,1c, TRUE,Scheduled new seats constructed on time (%),100%,100%,100%,96%,100%,100%,100%,Neutral,Up
EDC,3b, FALSE,"– Private investment leveraged on closed projects ($000,000)",$513.70,$555.80,$777.80,"$1,404.30",$564.10,*,*,Up,Up
CUNY,NA, FALSE,Total headcount enrollment,"269,114","269,897","275,132","274,357","272,957",*,*,Neutral,*
BIC,1b, FALSE,Waste hauling applications approved - New and Renewal,"1,106",770,737,994,876,*,*,Neutral,Up
DPR,1a, FALSE,– Overall condition of greenstreets (%),96%,97%,97%,97%,97%,*,*,Neutral,Up
DFTA,1a, TRUE,Total meals served (000),"11,521","11,597","11,671","12,104","11,719",*,*,Neutral,*
DCA,2a, TRUE,Licensing Center wait time (minutes),11,16,13,8,8,15,15,Down,Down
DOHMH,3b, FALSE,Restaurants inspected (%),99.60%,99.80%,99.90%,99.80%,87.50%,100.00%,100.00%,Neutral,Up
OATH,2a, TRUE,Summonses with decision rendered at the OATH Hearings Division,"202,117","199,302","206,867","195,290","207,723",*,*,Neutral,*
DCA,3a, FALSE,Total debt reduced by clients ($000) (cumulative),"$14,497","$23,893","$33,088","$43,125","$52,967",*,*,Up,Up
EDC,1a, TRUE,"Private investment leveraged on the sale/long-term lease of City-owned property ($000,000)",$331.20,"$6,020.50","$2,003.30","$1,213.60",$798.50,$534.00,↑,Down,Up
DSNY,5a, FALSE,Refuse collection cost per ton ($),$252,$277,$282,$291,NA,*,*,NA,*
DOE,5a, FALSE,Collisions involving City vehicles,64,45,55,52,52,*,*,Down,Down
DOF,3a, FALSE,Disability Rent Increase Exemption (DRIE) - Initial applications received,NA,NA,NA,"2,594","2,143",*,*,NA,*
BIC,1b, FALSE,Waste hauling applications approved - New,209,128,166,187,216,*,*,Up,Up
BOE,NA, FALSE,Interpreters deployed on election day - Bronx,156,138,148,155,176,*,*,Up,*
DHS,3a, FALSE,Single adults exiting to permanent housing,"8,526","10,012","8,762","8,521","8,132","9,000","9,000",Neutral,Up
